,JNJ,PFE,LLY,PRGO,CTLT,VTRS,ALXN,ZTS,ABBV,MRK
2016-07-07,122.51000213623047,33.937381744384766,79.31999969482422,93.08000183105469,23.030000686645508,43.70000076293945,123.33999633789062,47.689998626708984,63.43000030517578,58.779998779296875
2016-07-08,122.8499984741211,34.26945114135742,79.66000366210938,93.7300033569336,23.43000030517578,44.540000915527344,124.41999816894531,48.5,64.16000366210938,59.349998474121094
2016-07-11,122.93000030517578,34.29791259765625,79.13999938964844,93.66999816894531,23.540000915527344,44.54999923706055,125.30000305175781,48.290000915527344,64.3499984741211,59.34000015258789
2016-07-12,122.91999816894531,34.38330078125,79.66999816894531,94.9800033569336,23.739999771118164,45.15999984741211,125.3499984741211,48.869998931884766,65.5,59.599998474121094
2016-07-13,123.0,34.44971466064453,79.36000061035156,95.48999786376953,23.299999237060547,45.29999923706055,123.47000122070312,49.189998626708984,64.7699966430664,59.54999923706055
2016-07-14,123.18000030517578,35.02846145629883,80.58999633789062,93.62999725341797,23.760000228881836,45.380001068115234,125.1500015258789,49.97999954223633,63.619998931884766,59.650001525878906
2016-07-15,123.0,34.886146545410156,80.22000122070312,94.69999694824219,23.989999771118164,45.45000076293945,125.58000183105469,49.68000030517578,63.31999969482422,59.630001068115234
2016-07-18,123.13999938964844,34.76280975341797,79.94999694824219,92.47000122070312,24.309999465942383,45.529998779296875,125.45999908447266,49.720001220703125,63.560001373291016,59.02000045776367
2016-07-19,125.25,34.76280975341797,79.97000122070312,93.05000305175781,24.299999237060547,44.93000030517578,124.16000366210938,49.369998931884766,63.31999969482422,58.65999984741211
2016-07-20,125.13999938964844,34.800758361816406,80.27999877929688,94.8499984741211,24.59000015258789,47.20000076293945,126.93000030517578,50.25,63.40999984741211,58.790000915527344
2016-07-21,125.1500015258789,34.8292236328125,80.4000015258789,91.5199966430664,24.65999984741211,46.86000061035156,127.30000305175781,50.13999938964844,63.88999938964844,58.790000915527344
2016-07-22,125.02999877929688,34.85768508911133,81.58999633789062,92.45999908447266,24.209999084472656,46.59000015258789,125.80000305175781,50.2599983215332,63.810001373291016,58.81999969482422
2016-07-25,124.88999938964844,34.89563751220703,81.9800033569336,92.5199966430664,24.479999542236328,47.279998779296875,127.45999908447266,49.9900016784668,64.31999969482422,58.560001373291016
2016-07-26,125.1500015258789,34.94307327270508,82.08999633789062,90.77999877929688,24.440000534057617,46.47999954223633,126.6500015258789,49.91999816894531,64.44999694824219,58.36000061035156
2016-07-27,124.7699966430664,34.9620475769043,83.4000015258789,91.33999633789062,25.149999618530273,46.93000030517578,129.77999877929688,49.849998474121094,64.9000015258789,58.599998474121094
2016-07-28,124.45999908447266,34.7912712097168,82.93000030517578,91.08000183105469,25.649999618530273,46.720001220703125,130.39999389648438,50.060001373291016,64.72000122070312,58.43000030517578
2016-07-29,125.2300033569336,35.0,82.88999938964844,91.38999938964844,25.540000915527344,46.790000915527344,128.60000610351562,50.470001220703125,66.2300033569336,58.65999984741211
2016-08-01,125.4000015258789,35.39848327636719,83.18000030517578,91.0999984741211,25.770000457763672,46.7400016784668,133.5,50.400001525878906,66.94000244140625,58.65999984741211
2016-08-02,124.8499984741211,34.52561569213867,83.31999969482422,91.61000061035156,25.200000762939453,46.529998779296875,133.61000061035156,49.720001220703125,66.77999877929688,58.33000183105469
2016-08-03,123.9000015258789,33.481971740722656,82.72000122070312,94.25,25.31999969482422,48.40999984741211,137.66000366210938,51.209999084472656,66.56999969482422,57.650001525878906
2016-08-04,123.86000061035156,33.34914779663086,82.41999816894531,92.23999786376953,25.479999542236328,48.54999923706055,135.42999267578125,51.40999984741211,66.0999984741211,57.84000015258789
2016-08-05,124.23999786376953,33.62428665161133,81.55999755859375,93.1500015258789,25.329999923706055,48.459999084472656,137.11000061035156,51.09000015258789,66.54000091552734,63.86000061035156
2016-08-08,123.6500015258789,33.14041519165039,81.5999984741211,93.44000244140625,25.1299991607666,48.529998779296875,136.0800018310547,50.79999923706055,66.33999633789062,62.86000061035156
2016-08-09,123.43000030517578,33.28273010253906,81.5,95.08999633789062,25.190000534057617,49.91999816894531,135.0,50.93000030517578,66.76000213623047,62.4900016784668
2016-08-10,123.36000061035156,33.330169677734375,80.55000305175781,86.0,25.079999923706055,48.790000915527344,132.6699981689453,51.810001373291016,66.43000030517578,62.63999938964844
2016-08-11,123.7699966430664,33.34914779663086,80.55999755859375,85.80000305175781,25.34000015258789,48.709999084472656,133.6699981689453,52.06999969482422,66.94999694824219,63.630001068115234
2016-08-12,123.22000122070312,33.1878547668457,80.22000122070312,87.95999908447266,24.600000381469727,48.459999084472656,133.44000244140625,51.97999954223633,67.19000244140625,63.349998474121094
2016-08-15,122.30999755859375,33.311195373535156,80.26000213623047,88.29000091552734,25.0,48.75,136.07000732421875,52.380001068115234,67.38999938964844,63.31999969482422
2016-08-16,120.33000183105469,33.007591247558594,79.83999633789062,88.66000366210938,24.920000076293945,48.529998779296875,133.75999450683594,52.09000015258789,66.73999786376953,63.040000915527344
2016-08-17,121.30999755859375,33.339656829833984,80.11000061035156,89.54000091552734,24.940000534057617,48.900001525878906,133.05999755859375,52.29999923706055,66.83000183105469,63.290000915527344
2016-08-18,120.72000122070312,33.3870964050293,79.77999877929688,90.80000305175781,25.010000228881836,49.31999969482422,132.42999267578125,52.290000915527344,66.7699966430664,63.630001068115234
2016-08-19,119.91999816894531,33.1878547668457,79.05999755859375,91.83000183105469,25.229999542236328,48.65999984741211,132.13999938964844,52.540000915527344,67.0999984741211,63.36000061035156
2016-08-22,119.12999725341797,33.05502700805664,79.29000091552734,91.5199966430664,24.700000762939453,47.900001525878906,136.52999877929688,51.22999954223633,67.01000213623047,63.54999923706055
2016-08-23,119.44000244140625,33.29222106933594,79.56999969482422,91.54000091552734,25.530000686645508,45.619998931884766,137.4199981689453,51.25,66.16999816894531,63.58000183105469
2016-08-24,118.70999908447266,33.03605270385742,78.44000244140625,87.8499984741211,25.020000457763672,43.150001525878906,132.1199951171875,50.630001068115234,65.05999755859375,62.72999954223633
2016-08-25,118.56999969482422,32.98861312866211,78.01000213623047,88.4800033569336,24.969999313354492,42.849998474121094,129.1699981689453,50.470001220703125,64.72000122070312,62.31999969482422
2016-08-26,119.04000091552734,33.03605270385742,78.23999786376953,88.61000061035156,25.0,43.029998779296875,129.6300048828125,50.7599983215332,64.61000061035156,62.849998474121094
